Height,Color,Season,Moisture,Spread,Traffic
0,4,1,2,45,1
0,4,1,0,35,0
2,2,0,2,45,0
1,5,1,2,100,0
0,5,1,2,115,0
2,0,1,2,50,0
3,4,1,1,45,0
1,0,1,2,50,0
2,0,1,1,85,0
2,5,1,2,165,0
0,4,1,2,52,2
3,5,1,0,45,0
0,0,1,1,25,0
0,0,0,2,35,0
0,4,1,1,67,1
0,5,1,1,25,1
0,4,0,0,27,1
1,1,1,2,40,0
0,0,1,0,17,0
3,2,1,3,82,0
2,2,1,2,175,0
4,2,1,1,37,0
0,0,1,0,47,0
1,2,1,2,52,0
1,2,1,2,95,0
0,2,2,2,42,0
1,2,1,2,105,0
0,2,1,1,22,2
1,0,0,2,50,0
1,0,1,2,52,1
1,4,1,2,45,0
1,2,1,3,105,0
3,2,1,0,105,0
0,5,1,0,27,2
2,1,1,2,37,0
2,5,1,1,65,0
4,0,1,2,82,0
4,0,1,2,75,0
2,4,1,0,52,0
4,5,1,2,82,0
3,2,1,1,82,0
0,2,1,2,15,1
0,0,1,0,37,1
2,2,1,1,40,0
1,5,1,2,87,0
2,0,1,2,65,0
3,1,1,2,52,0
1,5,1,1,25,0
2,2,1,0,37,0
1,5,1,1,75,0
2,5,1,2,82,0
2,3,1,2,75,0
0,2,1,3,75,0
1,2,1,0,47,0
1,2,1,0,25,0
1,0,1,3,27,0
1,5,1,0,35,0
4,2,1,2,67,0
0,3,1,0,37,0
0,2,1,2,17,0
1,3,0,2,67,0
0,2,0,1,37,0
1,2,1,1,17,0
1,0,1,0,45,0
1,0,1,0,52,0
0,5,1,2,27,1
2,2,1,2,85,0
2,2,1,2,135,0
3,5,1,3,52,0
3,2,2,2,52,0
1,2,1,2,55,0
1,2,1,2,65,0
0,2,2,2,45,0
3,5,1,2,120,0
0,5,1,0,25,2
0,5,1,0,37,0
0,2,1,0,60,0
0,2,1,0,37,0
0,2,0,0,25,1
0,0,1,1,37,1
0,2,1,0,25,2
0,4,1,2,22,1
1,3,1,2,37,0
1,3,1,2,27,0
1,5,1,2,135,0
0,2,1,2,75,1
0,0,0,0,17,0
1,5,1,2,35,0
1,5,1,2,52,0
0,5,1,2,17,0
2,3,1,1,52,0
4,4,2,2,52,0
1,5,1,2,80,0
0,5,1,2,67,0
2,0,1,2,105,0
0,2,1,2,27,3
0,5,1,2,37,2
2,2,1,1,67,0
2,0,1,2,30,0
0,0,0,1,25,0
2,5,1,2,40,0
1,2,1,0,55,0
0,4,1,1,37,1
0,0,1,1,0,0
0,0,0,2,37,0
0,0,0,2,12,0
1,5,1,0,32,0
3,5,1,0,75,0
1,5,1,0,30,0
0,2,1,2,57,0
4,2,1,2,135,0
2,5,1,3,45,0
0,2,1,2,52,2
3,0,1,0,52,0
1,0,1,0,55,0
1,0,1,0,30,0
2,2,1,2,82,0
1,1,1,2,42,0
2,4,1,2,27,0
1,0,0,2,37,0
1,4,1,2,52,0
0,3,1,3,22,1
4,0,1,2,52,0
3,0,1,2,65,0
4,0,1,2,80,0
0,4,1,1,22,0
0,2,0,2,22,0
4,3,1,2,75,0
4,3,1,2,82,0
0,5,0,2,27,1
1,5,0,1,25,0
0,2,1,1,25,1
2,0,1,2,67,0
1,2,0,2,62,0
2,0,1,2,45,0
1,0,1,2,55,0
1,0,1,2,75,0
1,5,1,1,27,0
1,2,1,0,45,0
0,1,1,1,27,0
0,0,1,1,7,0
0,0,1,1,30,0
2,0,1,1,42,0
3,2,1,2,52,0
0,4,1,2,17,0
1,2,2,2,45,0
3,4,1,2,65,0
0,4,0,2,65,1
0,2,1,2,12,0
0,0,1,0,25,2
1,1,1,2,50,0
1,0,1,0,47,0
0,3,1,2,45,1
2,2,1,2,120,0
2,2,1,2,97,0
3,5,1,3,65,0
3,2,1,3,85,0
0,3,1,2,67,3
2,4,1,2,35,0
0,0,0,3,25,0
1,2,1,2,67,0
3,2,2,2,105,0
3,1,1,1,80,0
0,5,1,0,35,0
1,4,1,2,42,0
0,2,0,0,27,1
3,0,1,2,105,0
4,0,1,2,120,0
0,0,1,1,27,1
0,0,1,2,35,0
0,0,1,2,17,0
0,4,1,2,27,1
1,3,1,2,25,0
4,4,1,0,75,0
0,0,1,0,45,3
2,2,1,1,37,0
0,5,1,2,42,0
1,5,1,2,82,0
2,2,1,1,65,0
2,1,1,0,45,0
1,4,0,2,45,0
2,5,1,2,120,0
0,2,1,0,45,1
2,0,1,1,45,0
2,1,1,1,82,0
3,5,1,0,27,0
1,0,1,3,55,0
0,0,1,1,52,0
0,0,1,2,37,1
0,0,1,2,27,1
1,0,2,2,52,0
0,2,1,2,13,0
0,2,0,1,32,0
1,3,1,2,45,1
0,0,0,0,45,1
0,0,1,0,35,0
0,1,1,2,30,0
0,2,1,2,67,2
2,2,1,2,80,0
0,0,1,0,60,0
0,0,0,3,22,0
2,2,1,2,60,0
2,2,1,2,37,0
1,3,1,0,52,0
4,0,2,2,85,0
0,5,1,0,22,2
0,2,2,2,25,0
1,2,1,2,135,0
1,4,1,2,27,0
1,0,1,1,52,0
3,2,1,0,82,0
4,0,1,2,150,0
0,2,1,0,67,0
1,2,1,3,67,0
0,2,1,0,17,0
0,2,0,0,37,1
3,0,1,2,67,0
2,5,1,1,82,0
0,0,1,2,32,0
1,1,1,0,25,0
0,0,1,2,22,0
3,2,1,1,37,0
4,5,1,2,37,0
1,3,1,2,67,0
4,5,1,2,65,0
1,5,1,2,55,0
0,5,1,2,45,0
1,5,1,2,97,0
2,0,1,2,47,0
1,0,1,2,27,0
3,5,1,1,37,0
1,5,1,1,52,0
2,5,1,2,45,0
1,2,1,0,52,0
2,3,1,2,52,0
1,2,1,0,35,0
0,2,1,0,27,1
0,0,0,2,17,0
1,5,1,0,47,0
1,5,1,0,52,0
0,4,1,2,45,0
3,4,1,2,67,0
0,2,1,2,60,0
3,2,1,2,130,0
2,5,2,2,45,0
1,1,1,2,52,0
0,0,1,0,22,0
0,3,1,2,35,1
1,0,1,0,27,0
2,2,1,2,70,0
3,5,1,3,67,0
2,4,1,2,37,0
1,2,1,2,90,0
4,0,2,2,67,0
1,2,1,2,77,0
1,4,1,2,40,0
0,2,1,0,22,0
0,0,1,1,25,1
0,5,1,1,25,0
0,0,1,1,22,1
0,4,1,2,25,1
4,5,1,2,105,0
0,0,1,0,17,3
2,2,1,1,35,0
0,3,1,2,37,0
2,2,1,1,95,0
2,0,1,2,87,0
0,2,1,1,22,1
2,0,1,2,40,0
2,1,1,0,52,0
1,0,1,2,52,0
2,5,1,2,85,0
2,0,1,1,75,0
2,1,1,1,52,0
0,0,1,2,60,1
0,4,0,2,60,3
3,2,1,2,82,0
0,0,1,2,25,1
0,2,1,2,22,0
0,2,1,2,15,0
0,2,1,2,120,0
0,0,1,0,37,0
2,5,2,2,67,0
0,1,1,2,42,0
3,4,1,3,52,0
0,4,0,0,17,0
0,0,1,0,27,2
2,2,1,2,35,0
1,2,1,2,37,0
0,2,1,1,37,0
3,5,1,2,67,0
0,5,0,0,37,1
1,0,1,1,45,0
1,1,1,1,45,0
0,5,1,0,32,0
0,2,1,3,75,1
4,2,1,0,82,0
4,5,1,1,37,0
3,0,1,2,52,0
2,5,1,1,75,0
1,5,1,3,75,0
0,0,1,2,20,0
1,3,1,2,65,0
2,4,1,0,62,0
1,3,1,2,55,0
4,5,1,2,67,0
0,0,1,0,32,1
0,2,0,1,17,1
1,0,1,0,45,1
0,5,1,2,47,0
1,5,1,2,116,0
2,3,1,1,77,0
2,0,1,2,80,0
2,0,1,2,27,0
3,4,1,1,52,0
0,1,1,0,27,0
1,0,1,2,25,0
1,4,1,1,45,0
2,5,1,2,125,0
2,5,1,2,35,0
3,4,1,2,37,0
1,5,2,2,37,0
0,2,1,0,25,1
0,2,0,0,45,0
1,5,1,0,45,0
1,5,1,0,50,0
1,5,1,0,27,0
4,0,1,0,75,0
0,2,1,2,82,0
0,2,1,2,75,0
0,1,1,2,27,0
1,0,1,0,50,0
1,1,1,2,47,0
1,5,0,2,50,0
0,5,0,2,52,0
4,0,1,3,105,0
0,3,1,2,27,3
3,5,1,2,207,0
4,0,2,2,120,0
0,5,1,0,67,0
3,1,1,1,45,0
0,4,0,1,35,0
4,2,1,0,37,0
2,4,1,1,52,0
3,3,0,1,85,0
0,5,2,2,27,0
0,4,1,1,17,0
0,0,1,2,21,0
0,5,1,1,27,0
0,0,1,2,75,0
0,4,0,2,37,0
1,3,1,2,52,0
0,2,1,2,45,1
0,2,0,2,17,0
3,0,1,3,75,0
3,0,1,3,82,0
0,0,0,0,27,0
0,0,1,0,67,1
1,5,1,2,50,0
0,5,1,2,57,0
2,0,1,2,42,0
1,0,1,2,42,0
3,1,1,2,75,0
1,4,1,1,42,0
2,5,1,2,75,0
2,2,1,0,85,0
1,2,1,0,32,0
0,0,1,1,17,0
1,5,1,0,42,0
4,2,1,2,120,0
1,2,1,1,40,0
0,2,1,2,35,2
1,0,1,0,42,0
1,1,1,2,55,0
0,3,1,2,25,3
4,5,1,0,105,0
3,2,1,3,67,0
1,1,1,2,32,0
0,5,0,2,27,0
2,5,1,0,37,0
3,5,1,2,165,0
2,5,1,0,65,0
4,5,2,2,52,0
1,4,1,2,37,0
4,2,1,0,105,0
3,0,1,2,95,0
1,1,1,0,52,0
0,4,0,2,22,0
1,1,1,0,65,0
2,0,1,3,52,0
2,0,1,3,75,0
0,0,1,0,20,1
0,5,1,2,52,2
0,5,1,2,22,0
0,4,1,0,52,0
0,4,1,0,45,0
2,0,1,2,82,0
4,2,1,3,85,0
1,2,1,0,67,0
2,3,1,2,67,0
0,3,1,3,27,0
1,2,1,0,17,0
0,0,1,2,52,3
0,1,1,1,17,0
0,2,1,2,37,2
3,5,1,0,105,0
0,4,1,2,27,0
4,2,1,2,75,0
0,3,1,0,45,0
2,2,1,3,52,0
3,2,1,2,37,0
0,0,1,0,45,2
0,4,1,2,37,2
2,2,1,2,57,0
4,2,1,1,105,0
2,4,1,2,57,0
1,3,1,0,27,0
0,5,1,0,17,2
0,2,1,1,25,2
0,0,2,2,17,0
0,5,1,0,52,0
0,5,1,3,37,1
1,2,1,3,45,0
0,2,1,0,45,0
3,2,1,0,37,0
2,1,1,2,60,0
0,0,1,2,37,0
0,0,1,2,27,0
0,4,0,2,17,0
1,3,1,2,45,0
0,4,1,2,17,3
0,2,1,2,67,1
3,0,1,3,52,0
0,0,0,0,25,0
1,4,1,0,25,0
0,5,1,2,32,0
0,0,1,0,55,1
0,0,1,0,25,1
1,5,1,2,72,0
0,4,0,3,25,0
0,2,0,3,27,0
4,5,1,3,82,0
4,5,1,3,75,0
1,0,1,2,40,0
1,4,1,1,40,0
0,2,1,0,55,1
4,4,1,2,75,0
0,0,1,2,22,1
3,4,1,2,52,0
1,5,1,0,67,0
1,0,2,2,25,0
1,2,2,2,52,0
0,2,1,2,42,0
0,4,0,2,52,1
2,5,1,3,37,0
2,4,1,3,45,0
0,5,0,2,32,0
0,5,0,2,25,0
0,5,1,2,45,1
1,1,1,2,27,0
2,2,1,2,67,0
0,3,0,2,27,0
1,5,0,2,55,0
2,2,1,2,47,0
1,2,1,2,72,0
1,2,1,2,115,0
3,5,1,2,52,0
1,4,1,2,35,0
0,5,0,0,27,1
0,2,1,0,27,0
1,2,1,3,27,0
4,0,1,2,37,0
1,0,0,1,52,0
2,4,1,1,67,0
2,1,1,2,82,0
0,0,1,2,42,0
0,2,1,2,60,1
3,2,1,1,52,0
4,4,1,0,105,0
0,2,0,2,37,0
0,2,1,2,25,1
4,5,1,2,95,0
0,0,1,0,22,1
1,5,1,2,45,0
0,5,1,2,35,0
1,1,0,2,52,0
2,0,1,2,37,0
2,0,1,2,62,0
2,0,2,1,52,0
1,0,1,2,47,0
0,1,1,0,45,0
1,4,0,2,52,0
1,0,1,2,67,0
1,4,0,2,65,0
1,2,1,0,65,0
0,2,1,0,22,1
1,2,1,0,37,0
0,2,0,0,17,0
3,2,1,2,85,0
0,4,1,2,25,0
4,2,1,2,85,0
1,2,1,1,50,0
1,3,0,2,52,0
1,1,1,2,35,0
0,0,1,0,12,0
4,2,2,2,120,0
0,5,0,1,22,1
2,2,1,2,105,0
1,4,2,0,37,0
0,4,1,0,37,1
0,2,1,1,22,0
1,2,1,2,57,0
1,2,1,2,32,0
1,2,1,2,75,0
3,5,1,2,160,0
0,5,1,0,27,0
0,0,1,3,17,0
3,2,1,0,75,0
0,5,1,3,17,1
3,0,1,2,97,0
4,0,1,2,105,0
2,5,1,1,85,0
1,1,1,0,32,0
0,0,1,2,25,0
0,2,1,2,22,1
2,4,1,0,90,0
2,4,1,0,67,0
3,4,1,0,105,0
1,4,1,0,27,0
1,4,1,0,50,0
0,0,1,0,27,1
1,4,1,0,45,0
3,0,0,3,105,0
2,0,1,2,77,0
2,1,1,0,37,0
4,2,1,3,82,0
3,5,1,1,105,0
2,0,0,1,82,0
1,5,1,1,45,0
2,0,1,1,37,0
2,5,1,2,135,0
1,0,1,3,22,0
0,0,0,2,22,0
3,2,1,2,67,0
0,0,1,2,45,1
0,4,1,2,15,0
1,3,0,2,55,0
0,2,0,1,17,0
1,1,1,2,75,0
0,0,1,0,52,0
2,0,1,0,67,0
2,5,2,2,82,0
2,2,1,2,65,0
4,2,2,2,85,0
2,2,1,2,45,0
0,2,1,1,17,0
0,2,1,1,35,0
1,2,1,2,35,0
0,1,1,0,27,1
1,2,1,2,100,0
0,5,1,0,37,2
3,0,1,1,85,0
4,0,1,2,135,0
0,2,1,0,25,0
4,5,1,1,52,0
3,3,1,2,52,0
2,1,1,2,57,0
3,0,1,2,37,0
4,0,1,2,95,0
0,0,1,2,30,0
0,4,0,2,32,0
0,2,1,2,27,1
3,0,1,3,87,0
0,2,0,2,35,0
1,5,1,2,47,0
0,5,1,2,37,0
1,5,1,2,0,0
1,5,1,2,25,0
1,5,1,2,75,0
0,3,1,2,27,0
1,0,1,2,45,0
4,2,1,3,120,0
0,1,1,0,35,0
0,1,1,0,52,0
1,0,1,2,65,0
3,5,1,1,65,0
3,5,1,1,52,0
0,2,1,0,20,1
2,5,1,2,37,0
2,2,1,0,75,0
1,5,2,2,35,0
2,2,1,0,82,0
4,3,0,3,105,0
0,4,1,1,17,1
0,0,0,2,25,0
3,4,1,2,75,0
1,0,2,2,45,0
1,2,1,1,52,0
0,2,1,2,52,0
2,3,0,0,67,0
0,2,1,2,45,0
1,3,1,1,27,0
1,2,1,1,45,0
0,0,0,0,27,1
1,1,1,2,37,0
1,5,0,2,52,0
0,3,0,2,22,0
1,2,0,1,37,0
2,2,1,2,42,0
3,5,1,3,75,0
1,2,1,2,85,0
4,0,2,2,105,0
3,5,1,2,90,0
0,5,1,0,25,0
1,4,1,2,32,0
0,4,0,1,25,0
4,2,1,0,52,0
1,3,1,3,27,0
2,5,1,1,37,0
2,1,1,2,47,0
2,4,1,1,37,0
0,0,1,1,17,1
0,4,1,1,52,0
0,2,1,0,37,2
0,5,1,1,17,0
0,4,0,2,35,0
0,4,1,2,22,3
2,4,1,0,65,0
0,2,0,2,27,0
0,2,1,2,35,1
4,3,1,2,105,0
1,5,1,2,40,0
1,4,1,0,52,0
0,3,1,2,52,0
0,5,1,2,17,2
1,2,0,2,37,0
4,1,1,0,52,0
2,0,1,2,57,0
0,5,0,0,25,0
0,0,0,1,22,0
2,5,1,2,77,0
2,0,1,1,67,0
2,1,1,1,37,0
2,0,1,1,90,0
0,1,1,1,22,0
4,2,1,2,52,0
2,2,1,3,75,0
3,2,1,2,65,0
0,4,1,2,13,0
4,0,1,0,105,0
1,3,0,2,57,0
2,0,1,0,37,0
0,1,1,2,37,0
1,5,0,2,70,0
1,2,1,2,45,0
0,2,1,1,45,0
2,4,1,2,82,0
2,4,1,2,75,0
0,5,0,0,20,1
3,0,1,1,37,0
1,1,1,1,27,0
0,5,0,0,45,1
0,0,1,3,37,0
4,5,1,1,82,0
3,3,1,2,82,0
2,1,1,2,55,0
1,0,0,1,35,0
0,3,1,0,45,1
0,4,1,2,37,1
2,2,0,1,85,0
4,3,1,2,52,0
0,4,1,0,25,0
1,5,1,2,27,0
1,5,1,2,108,0
0,5,1,2,62,0
0,3,1,2,25,0
0,4,0,0,52,1
1,0,1,2,35,0
3,4,1,1,37,0
1,2,1,0,57,0
3,5,1,0,37,0
0,0,0,2,27,0
2,2,1,3,37,0
0,2,1,2,47,0
1,2,1,1,47,0
1,2,1,1,67,0
0,5,0,2,37,0
0,0,1,0,55,0
0,0,1,0,25,0
1,2,0,1,35,0
4,2,2,2,57,0
0,5,1,2,52,1
1,2,1,2,87,0
0,5,1,2,22,3
1,0,1,1,35,0
1,1,1,1,52,0
2,1,1,2,45,0
0,0,1,2,47,0
0,0,1,2,52,0
0,4,0,2,45,0
0,4,0,2,52,0
0,2,1,2,37,1
0,2,0,2,25,0
0,2,0,2,55,0
0,2,0,2,32,0
0,0,1,0,45,1
1,5,1,2,42,0
0,3,1,2,42,0
1,5,1,2,70,0
1,5,1,2,95,0
2,2,1,1,85,0
1,2,0,2,35,0
3,1,1,2,67,0
1,0,1,2,57,0
1,4,1,1,27,0
2,5,1,2,116,0
2,2,1,0,52,0
2,5,1,2,67,0
2,5,1,2,90,0
4,4,1,2,52,0
1,5,1,0,52,2
2,0,2,2,47,0
2,2,1,3,82,0
0,0,1,1,32,0
4,2,1,2,105,0
4,2,1,2,82,0
0,2,1,2,55,0
0,2,1,2,32,0
0,2,1,2,25,0
0,2,0,2,37,1
1,2,1,1,32,0
1,4,0,1,25,0
2,5,1,3,52,0
2,5,1,3,105,0
1,0,1,0,37,0
2,2,1,2,150,0
0,0,1,0,40,0
3,2,1,3,75,0
2,2,1,2,27,0
3,4,1,3,67,0
0,3,0,2,35,0
3,0,2,2,52,0
2,5,1,0,52,0
1,2,1,2,47,0
0,3,0,2,17,0
1,4,1,2,65,0
3,1,1,1,52,0
0,5,1,0,22,0
1,0,1,1,32,0
1,0,1,1,27,0
0,5,1,0,45,0
0,2,1,3,37,1
0,2,1,0,52,0
0,2,0,0,17,1
0,2,1,0,10,0
3,3,1,2,75,0
2,1,1,2,67,0
0,2,1,0,17,2
1,4,1,3,50,0
1,1,1,0,37,0
1,0,0,1,37,0
1,5,1,3,52,0
2,2,0,1,37,0
0,0,1,0,12,1
0,5,0,1,22,0
0,4,1,0,27,0
0,5,1,2,25,0
0,4,1,0,37,0
0,5,1,2,75,0
1,4,1,0,32,0
1,2,0,2,27,0
2,0,1,2,35,0
2,0,1,2,52,0
4,3,1,3,165,0
0,1,1,0,17,0
0,5,1,0,27,1
3,4,1,1,67,0
2,0,1,1,95,0
0,2,1,3,52,2
3,2,1,2,95,0
3,2,1,2,70,0
3,2,1,2,45,0
0,2,1,2,22,2
0,0,1,2,67,1
0,0,1,0,37,2
1,3,0,2,37,0
3,0,1,0,37,0
0,0,1,0,27,0
4,2,2,2,105,0
0,2,1,1,7,0
3,2,2,2,82,0
1,0,0,2,52,0
1,0,0,2,45,0
3,0,1,1,90,0
1,4,1,2,60,0
2,2,0,0,82,0
2,1,1,2,52,0
3,0,1,2,27,0
0,0,1,2,45,0
1,1,1,0,42,0
0,4,1,2,52,1
0,2,1,0,22,2
0,4,0,2,25,0
3,2,1,1,67,0
0,0,1,0,52,1
0,4,0,0,37,1
0,0,1,0,17,1
1,5,1,2,22,0
0,3,1,2,30,0
2,0,1,2,75,0
0,2,1,1,52,1
1,0,1,2,32,0
3,1,1,2,37,0
2,5,1,2,65,0
2,5,1,2,55,0
0,0,1,2,30,1
0,5,0,3,25,0
1,0,1,3,37,0
1,5,1,0,57,0
3,2,1,2,27,0
0,2,1,2,27,0
1,2,1,1,27,0
0,2,2,1,37,0
1,1,1,2,65,0
0,1,0,1,22,0
0,5,0,2,17,0
2,2,1,2,75,0
0,0,1,0,42,0
0,3,1,2,27,1
2,2,1,2,55,0
4,0,1,3,82,0
1,0,1,2,45,1
3,5,1,2,37,0
0,2,1,0,35,0
3,0,1,2,135,0
2,1,1,2,42,0
2,4,1,1,75,0
2,1,1,2,65,0
0,2,1,2,52,1
1,2,1,1,45,3
0,2,1,2,45,3
0,2,0,2,65,0
0,2,0,2,45,0
0,2,0,2,52,0
2,0,1,3,65,0
0,1,0,2,17,0
0,5,0,1,35,0
1,5,1,2,37,0
2,2,1,1,45,0
0,5,1,2,27,0
0,5,1,2,50,0
1,5,1,2,65,0
2,2,1,1,82,0
1,5,1,2,90,0
1,5,1,2,62,0
1,4,0,2,37,0
0,1,1,0,37,0
4,2,1,3,105,0
2,0,0,1,85,0
1,0,1,2,82,0
2,5,1,2,105,0
3,5,1,1,82,0
0,5,1,0,25,1
2,2,1,0,65,0
0,2,1,0,37,1
0,2,0,0,25,0
0,4,1,2,22,0
0,2,1,2,35,0
1,2,1,1,35,0
1,3,1,1,52,0
0,0,0,0,37,1
2,5,2,2,52,0
0,5,0,2,22,0
0,2,1,2,75,2
1,5,0,2,37,0
1,1,0,1,25,0
2,2,1,2,52,0
1,2,1,2,30,0
1,2,1,2,40,0
1,0,1,1,67,0
0,0,1,3,25,0
0,5,1,0,42,0
1,0,1,1,30,0
3,5,1,2,27,0
0,2,1,0,32,0
2,1,1,2,27,0
2,5,1,1,47,0
2,5,1,1,52,0
3,0,1,2,75,0
0,4,1,1,37,0
1,0,2,1,52,0
1,1,1,0,17,0
0,4,0,2,27,0
3,2,1,1,65,0
4,3,1,2,65,0
0,4,1,0,45,2
0,0,0,0,22,0
0,4,1,0,22,0
1,4,1,0,37,0
1,5,1,2,105,0
1,5,0,1,37,0
1,2,0,2,52,0
2,0,1,2,55,0
0,1,1,0,22,0
2,3,1,2,37,0
1,5,1,1,37,0
2,5,1,2,27,0
4,0,1,1,37,0
2,0,1,1,52,0
0,0,0,2,55,0
3,2,1,2,75,0
2,2,1,3,65,0
0,4,1,1,22,1
0,4,1,2,37,0
0,2,0,1,30,0
2,0,1,0,52,0
0,1,1,2,17,0
2,0,1,0,75,0
0,0,1,0,30,0
1,0,0,3,82,0
2,4,1,2,52,0
0,2,1,1,25,0
2,4,1,2,45,0
1,2,1,2,82,0
1,2,1,2,25,0
2,4,1,2,65,0
1,0,0,2,55,0
3,0,1,1,52,0
1,0,0,2,65,0
1,4,1,2,57,0
1,2,0,0,67,0
4,4,1,1,75,0
3,2,1,0,85,0
